filename,V0_LAT,V0_LON,V1_LAT,V1_LON,V2_LAT,V2_LON,V3_LAT,V3_LON,Al_Si_ratio
01_ch2_cla_l1_20240701T132005195_20240701T132013195.fits,18.5049,-128.731,17.1458,-128.745,17.1347,-127.74,18.4937,-127.718,1.01
01_ch2_cla_l1_20240701T132637195_20240701T132645195.fits,-1.0528,-128.982,-2.3978,-128.999,-2.4084,-128.053,-1.0634,-128.036,0.05
01_ch2_cla_l1_20240701T145121767_20240701T145129767.fits,86.2364,34.8411,85.09,38.6255,85.1922,47.6623,86.371,46.6706,0.71
01_ch2_cla_l1_20240701T171917826_20240701T171925826.fits,0.4847,-131.137,-0.8603,-131.154,-0.8713,-130.208,0.4737,-130.191,1.0
01_ch2_cla_l1_20240701T125029196_20240701T125037195.fits,73.1861,48.4938,72.057,48.7136,72.0827,51.0468,73.2135,50.9842,0.14
01_ch2_cla_l1_20240701T133101196_20240701T133109196.fits,-14.2694,-129.176,-15.5902,-129.195,-15.6008,-128.241,-14.28,-128.226,0.88
01_ch2_cla_l1_20240701T193658911_20240701T193706911.fits,-63.4566,-134.161,-64.6184,-134.27,-64.6392,-132.516,-63.4768,-132.476,0.95
01_ch2_cla_l1_20240701T184026911_20240701T184034911.fits,73.6261,45.01,72.5002,45.2497,72.5281,47.6289,73.6559,47.5541,0.61
01_ch2_cla_l1_20240701T134533195_20240701T134541195.fits,-58.423,-130.446,-59.5995,-130.52,-59.6163,-129.004,-58.4392,-128.977,0.76
01_ch2_cla_l1_20240701T172341826_20240701T172349826.fits,-12.7281,-131.334,-14.0513,-131.354,-14.0624,-130.403,-12.7392,-130.388,0.73
01_ch2_cla_l1_20240701T113032112_20240701T113040112.fits,-2.5786,-127.914,-3.9223,-127.93,-3.9327,-126.984,-2.589,-126.968,1.11
01_ch2_cla_l1_20240701T190322911_20240701T190330911.fits,37.9443,-131.711,36.6045,-131.727,36.5909,-130.556,37.9304,-130.52,0.18
01_ch2_cla_l1_20240701T191530911_20240701T191538911.fits,1.6187,-132.207,0.2736,-132.224,0.2623,-131.279,1.6074,-131.261,1.1
01_ch2_cla_l1_20240701T093547848_20240701T093555848.fits,-8.1438,-126.901,-9.4787,-126.919,-9.489,-125.971,-8.154,-125.956,0.84
01_ch2_cla_l1_20240701T151009767_20240701T151017767.fits,38.0093,-129.561,36.6654,-129.575,36.6522,-128.398,37.9959,-128.362,0.31
