file_name,start_time,end_time,v0_lon,v0_lat,v1_lon,v1_lat,v2_lon,v2_lat,v3_lon,v3_lat,ratio_Al,ratio_Ca,ratio_Si,ratio_O,ratio_Fe,ratio_Mg,solar_class
ch2_cla_l1_20240701T132005195_20240701T132013195.fits,2024-07-01 13:20:05.195000,2024-07-01 13:20:13.195000,-128.731,18.5049,-128.745,17.1458,-127.74,17.1347,-127.718,18.4937,20,10,40,15,15,30,A
ch2_cla_l1_20240701T132637195_20240701T132645195.fits,2024-07-01 13:26:37.195000,2024-07-01 13:26:45.195000,-128.982,-1.0528,-128.999,-2.3978,-128.053,-2.4084,-128.036,-1.0634,20,10,40,15,15,30,A
ch2_cla_l1_20240701T145121767_20240701T145129767.fits,2024-07-01 14:51:21.767000,2024-07-01 14:51:29.767000,34.8411,86.2364,38.6255,85.09,47.6623,85.1922,46.6706,86.371,20,10,40,15,15,30,A
ch2_cla_l1_20240701T171917826_20240701T171925826.fits,2024-07-01 17:19:17.826000,2024-07-01 17:19:25.826000,-131.137,0.4847,-131.154,-0.8603,-130.208,-0.8713,-130.191,0.4737,20,10,40,15,15,30,A
ch2_cla_l1_20240701T125029196_20240701T125037195.fits,2024-07-01 12:50:29.196000,2024-07-01 12:50:37.195000,48.4938,73.1861,48.7136,72.057,51.0468,72.0827,50.9842,73.2135,20,10,40,15,15,30,A
ch2_cla_l1_20240701T133101196_20240701T133109196.fits,2024-07-01 13:31:01.196000,2024-07-01 13:31:09.196000,-129.176,-14.2694,-129.195,-15.5902,-128.241,-15.6008,-128.226,-14.28,20,10,40,15,15,30,A
ch2_cla_l1_20240701T193658911_20240701T193706911.fits,2024-07-01 19:36:58.911000,2024-07-01 19:37:06.911000,-134.161,-63.4566,-134.27,-64.6184,-132.516,-64.6392,-132.476,-63.4768,20,10,40,15,15,30,A
ch2_cla_l1_20240701T184026911_20240701T184034911.fits,2024-07-01 18:40:26.911000,2024-07-01 18:40:34.911000,45.01,73.6261,45.2497,72.5002,47.6289,72.5281,47.5541,73.6559,20,10,40,15,15,30,A
ch2_cla_l1_20240701T134533195_20240701T134541195.fits,2024-07-01 13:45:33.195000,2024-07-01 13:45:41.195000,-130.446,-58.423,-130.52,-59.5995,-129.004,-59.6163,-128.977,-58.4392,20,10,40,15,15,30,A
ch2_cla_l1_20240701T172341826_20240701T172349826.fits,2024-07-01 17:23:41.826000,2024-07-01 17:23:49.826000,-131.334,-12.7281,-131.354,-14.0513,-130.403,-14.0624,-130.388,-12.7392,20,10,40,15,15,30,A
ch2_cla_l1_20240701T113032112_20240701T113040112.fits,2024-07-01 11:30:32.112000,2024-07-01 11:30:40.112000,-127.914,-2.5786,-127.93,-3.9223,-126.984,-3.9327,-126.968,-2.589,20,10,40,15,15,30,A
ch2_cla_l1_20240701T190322911_20240701T190330911.fits,2024-07-01 19:03:22.911000,2024-07-01 19:03:30.911000,-131.711,37.9443,-131.727,36.6045,-130.556,36.5909,-130.52,37.9304,20,10,40,15,15,30,A
ch2_cla_l1_20240701T191530911_20240701T191538911.fits,2024-07-01 19:15:30.911000,2024-07-01 19:15:38.911000,-132.207,1.6187,-132.224,0.2736,-131.279,0.2623,-131.261,1.6074,20,10,40,15,15,30,A
ch2_cla_l1_20240701T093547848_20240701T093555848.fits,2024-07-01 09:35:47.848000,2024-07-01 09:35:55.848000,-126.901,-8.1438,-126.919,-9.4787,-125.971,-9.489,-125.956,-8.154,20,10,40,15,15,30,A
ch2_cla_l1_20240701T151009767_20240701T151017767.fits,2024-07-01 15:10:09.767000,2024-07-01 15:10:17.767000,-129.561,38.0093,-129.575,36.6654,-128.398,36.6522,-128.362,37.9959,20,10,40,15,15,30,A
ch2_cla_l1_20240701T115336112_20240701T115344112.fits,2024-07-01 11:53:36.112000,2024-07-01 11:53:44.112000,-130.832,-72.7378,-131.057,-73.8549,-128.519,-73.8825,-128.447,-72.7637,20,10,40,15,15,30,A
ch2_cla_l1_20240701T115504112_20240701T115512112.fits,2024-07-01 11:55:04.112000,2024-07-01 11:55:12.112000,-131.972,-77.278,-132.383,-78.3755,-128.974,-78.4125,-128.844,-77.3119,20,10,40,15,15,30,A
ch2_cla_l1_20240701T100755848_20240701T100803848.fits,2024-07-01 10:07:55.848000,2024-07-01 10:08:03.848000,54.3069,-72.0818,54.3709,-73.0731,56.3343,-73.0521,56.1601,-72.0621,20,10,40,15,15,30,A
ch2_cla_l1_20240701T095643848_20240701T095651848.fits,2024-07-01 09:56:43.848000,2024-07-01 09:56:51.848000,-129.555,-71.8818,-129.758,-73.0006,-127.338,-73.0265,-127.274,-71.9062,20,10,40,15,15,30,A
ch2_cla_l1_20240701T165157826_20240701T165205826.fits,2024-07-01 16:51:57.826000,2024-07-01 16:52:05.826000,-128.541,82.6063,-128.824,81.3827,-123.392,81.3204,-122.241,82.5341,20,10,40,15,15,30,A
ch2_cla_l1_20240701T094051848_20240701T094059848.fits,2024-07-01 09:40:51.848000,2024-07-01 09:40:59.848000,-127.144,-23.401,-127.166,-24.6988,-126.18,-24.7095,-126.167,-23.4115,20,10,40,15,15,30,A
ch2_cla_l1_20240701T154513767_20240701T154521767.fits,2024-07-01 15:45:13.767000,2024-07-01 15:45:21.767000,-132.364,-67.9041,-132.509,-69.0445,-130.468,-69.0676,-130.419,-67.926,20,10,40,15,15,30,A
ch2_cla_l1_20240701T171133826_20240701T171141826.fits,2024-07-01 17:11:33.826000,2024-07-01 17:11:41.826000,-130.831,23.6351,-130.846,22.2806,-129.813,22.2688,-129.788,23.6232,20,10,40,15,15,30,A
ch2_cla_l1_20240701T095827848_20240701T095835848.fits,2024-07-01 09:58:27.848000,2024-07-01 09:58:35.848000,-130.822,-77.2486,-131.225,-78.3442,-127.836,-78.3805,-127.711,-77.2819,20,10,40,15,15,30,A
ch2_cla_l1_20240701T152617767_20240701T152625767.fits,2024-07-01 15:26:17.767000,2024-07-01 15:26:25.767000,-130.205,-10.3051,-130.224,-11.6335,-129.277,-11.6443,-129.261,-10.3158,20,10,40,15,15,30,A
ch2_cla_l1_20240701T185850911_20240701T185858911.fits,2024-07-01 18:58:50.911000,2024-07-01 18:58:58.911000,-131.486,51.5448,-131.506,50.2299,-130.077,50.2133,-130.018,51.5277,20,10,40,15,15,30,A
ch2_cla_l1_20240701T175357826_20240701T175405826.fits,2024-07-01 17:53:57.826000,2024-07-01 17:54:05.826000,50.1734,-73.221,50.2569,-74.2261,52.4132,-74.2012,52.1992,-73.1976,20,10,40,15,15,30,A
ch2_cla_l1_20240701T125741195_20240701T125749195.fits,2024-07-01 12:57:41.195000,2024-07-01 12:57:49.195000,-125.094,85.8646,-125.835,84.649,-117.268,84.5536,-114.145,85.7415,20,10,40,15,15,30,A
ch2_cla_l1_20240701T113816112_20240701T113824112.fits,2024-07-01 11:38:16.112000,2024-07-01 11:38:24.112000,-128.283,-25.8564,-128.307,-27.147,-127.309,-27.1579,-127.295,-25.8672,20,10,40,15,15,30,A
ch2_cla_l1_20240701T110240112_20240701T110248112.fits,2024-07-01 11:02:40.112000,2024-07-01 11:02:48.112000,-125.875,81.0551,-126.047,79.8187,-121.361,79.7678,-120.562,80.9973,20,10,40,15,15,30,A
ch2_cla_l1_20240701T165237826_20240701T165245826.fits,2024-07-01 16:52:37.826000,2024-07-01 16:52:45.826000,-128.992,80.581,-129.173,79.35,-124.719,79.299,-123.976,80.5236,20,10,40,15,15,30,A
ch2_cla_l1_20240701T165405826_20240701T165413826.fits,2024-07-01 16:54:05.826000,2024-07-01 16:54:13.826000,-129.536,76.1312,-129.626,74.8846,-126.4,74.8477,-126.034,76.0912,20,10,40,15,15,30,A
