Composition Type, LSPET69, Wiesmann76, Gast70, Laul80 bulk, Rhodes81, Agrell70, Compston70, Goles70
SiO2, 43, NaN, 41.3, 41.9, 42.16, 41.79, 45.2, 43.5
TiO2, 7, NaN, 7.5, 7.56, 7.75, 7.55, 8.5, 8.8
Al2O3, 13, NaN, 13.7, 13.55, 13.6, 13.44, 14, 13.7
FeO, 16, NaN, 15.8, 15.94, 15.34, 15.91, 14.7, 15.7
MnO, 0.23, NaN, 0.213, 0.21, 0.2, 0.21, 0.2, 0.2
MgO, 8, NaN, 8, 7.82, 7.76, 7.66, 7.9, NaN
CaO, 12, NaN, 12.5, 12.08, 11.94, 12.14, NaN, NaN
Na2O, 0.54, 0.46, 0.41, 0.4, 0.47, 0.43, 0.44, NaN
K2O, 0.12, 0.145, NaN, 0.13, 0.16, 0.14, NaN, 0.13
P2O5, NaN, NaN, NaN, NaN, 0.05, 0.13, NaN, NaN
S, NaN, NaN, NaN, NaN, 0.11, NaN, 0.14, NaN
