Composition Type, Morrison71, Willis71, Willis72, Schnetzler71, Laul71, O'Kelly71, Frondel71, Wakita71
SiO2, NaN, 46.58, NaN, NaN, 46.5, 40.3, NaN, NaN
TiO2, 1.83, 2.56, NaN, NaN, 2.9, 2.8, 3, NaN
Al2O3, 15.7, 13.59, NaN, NaN, 15.2, 14.1, 14, NaN
FeO, 15, 15.11, NaN, NaN, 14.1, 15.3, NaN, NaN
MnO, 0.22, 0.207, NaN, NaN, 0.2, 0.195, 0.199, NaN
MgO, 10.9, 9.89, NaN, NaN, 9.4, 13.4, NaN, NaN
CaO, 10.4, 10.53, NaN, NaN, 10.7, 12.2, 10.6, NaN
Na2O, 0.59, 0.56, NaN, NaN, 0.59, 0.601, 0.602, NaN
K2O, 0.37, 0.363, NaN, 0.36, NaN, NaN, 0.421, NaN
P2O5, NaN, 0.38, NaN, NaN, NaN, NaN, NaN, NaN
S, NaN, 0.069, NaN, NaN, NaN, NaN, NaN, NaN
