Composition Type,Keith 73,Blanchard 45A,Lindstrom 88 244,Lindstrom 88 245,Lindstrom 88 246,Ridley73 Wiesmann75 25,Ridley73 Gros 76 123,Ryder & Bower 77 92,Ryder & Bower 77 147
SiO2,44.6,45.7,45.3,NaN,44.6,NaN,NaN,NaN,NaN
TiO2,1.24,1.62,NaN,1.48,NaN,1.56,1.7,1.47,NaN
Al2O3,20.6,17.1,NaN,16.2,17.3,17.5,16.66,NaN,NaN
FeO,10,7.98,8.28,9.17,NaN,10.2,7.9,9.5,9.83
MnO,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MgO,12.9,16,NaN,15.5,NaN,13.4,15.7,16,NaN
CaO,11.4,11.3,9.8,9.6,11.5,9.7,10.04,NaN,NaN
Na2O,0.54,0.551,0.55,0.523,0.55,NaN,0.62,0.81,NaN
K2O,0.128,NaN,0.15,NaN,NaN,0.22,0.18,NaN,NaN
P2O5,0.18,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,NaN,NaN,NaN,0.21,NaN,NaN,NaN,NaN,NaN

