Composition Type,Laul72,Laul80 Papike82,Lindstrom72,Rose72,Hubbard72 Weismann75,Wanke72,Taylor72,Masuda72 Strashheim72,Keith72
SiO2,47.3,47.3,47.97,NaN,48.35,48.1,47.3,NaN,NaN
TiO2,1.9,1.6,NaN,1.77,NaN,1.46,1.83,1.84,NaN
Al2O3,18.4,17.8,NaN,17.57,NaN,18.1,17.6,17.1,NaN
FeO,10.4,10.5,NaN,10.7,NaN,10.4,10.3,10.15,NaN
MnO,0.124,0.135,NaN,0.14,NaN,0.13,0.18,0.127,NaN
MgO,9.6,NaN,9.18,NaN,9.28,9.78,9,NaN
CaO,11,11.4,NaN,11.15,NaN,10.2,10.4,10.65,NaN
Na2O,0.711,0.7,NaN,0.75,NaN,0.77,NaN,0.67,0.62
K2O,0.52,0.55,NaN,0.52,NaN,0.58,NaN,0.53,0.52
P2O5,NaN,NaN,0.52,NaN,NaN,NaN,NaN,NaN,NaN
S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
