Composition Type,LSPET72,Compston73,Taylor73,Wrigley73,Wanke73,Haskin73,Boynton76,ave. st. 5 Korotev81, xxx, xxxx
SiO2,45.03,NaN,44.95,NaN,44.7,NaN,45.1,NaN,45.4,45.3
TiO2,0.64,NaN,0.65,NaN,0.65,NaN,0.7,NaN,NaN,0.65
Al2O3,26.47,NaN,26.22,NaN,26.3,NaN,26.6,NaN,28.2,26.2
FeO,5.87,NaN,5.85,NaN,5.68,NaN,5.84,NaN,5.53,5.85
MnO,0.08,NaN,0.08,NaN,NaN,NaN,0.07,NaN,0.074,0.075
MgO,6.02,NaN,6.34,NaN,6.19,NaN,6.1,NaN,6.02,6.25
CaO,15.29,NaN,15.39,NaN,15,NaN,15.1,NaN,12.8,15
Na2O,0.41,NaN,0.45,NaN,0.43,NaN,0.44,NaN,0.48,0.45
K2O,0.12,NaN,0.12,NaN,0.25,NaN,0.12,NaN,0.138,0.134
P2O5,0.13,NaN,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,0.09,NaN,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
