Composition Type, A, B, C, D, 21000, 5, ave., A5, G5, A3
SiO2, 41.7, 41.2, 42.5, 41.3, NaN, 41.7, NaN, NaN, 44, 45
TiO2, 3.39, 3.46, 3.3, 3.42, NaN, 3.4, NaN, NaN, 3.3, 3.5
Al2O3, 15.32, 15.4, 15.45, 15.15, NaN, 15.3, NaN, NaN, 16, 16
FeO, 16.8, 16.55, 16.3, 16.9, NaN, 16.7, NaN, NaN, 16, 15.9
MnO, 0.21, 0.2, 0.2, 0.22, NaN, 0.23, NaN, NaN, 0.23, 0.23
MgO, 8.73, 8.82, 8.96, 8.6, NaN, 8.8, NaN, NaN, 8.51, 8.12
CaO, 12.2, 12.8, 12.42, 12.55, NaN, 12.5, NaN, NaN, 12.1, 12.1
Na2O, 0.37, 0.36, 0.36, 0.28, NaN, 0.34, NaN, NaN, 0.42, 0.42
K2O, 0.1, 0.12, 0.1, 0.1, NaN, 0.1, NaN, NaN, 0.09, 0.11
P2O5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
S, 0.19, 0.2, 0.18, 0.25, NaN, 0.21, NaN, NaN, NaN, NaN
