Composition Type, Korotev81 average, Laul72 22001,9, Morgan72 22001,10, Laul81 22001,35, McKay Sourcebook ave., Philpotts72 Nava72
SiO2, 45.6, NaN, NaN, NaN, 45.1, 45.4, NaN, NaN, NaN
TiO2, 0.46, 0.49, NaN, 0.48, 0.55, 0.47, 0.47, NaN, 0.43
Al2O3, 22.9, 22.8, NaN, 23.5, 22.3, 23.44, 22.1, NaN, 22.7
FeO, 7.5, 8.1, NaN, 7.27, 7, 7.37, 7, NaN, 7.8
MnO, 0.106, 0.104, NaN, 0.1, 0.13, 0.1, NaN, NaN, 0.11
MgO, 9.15, 10, NaN, 9.7, 9.8, 9.19, 8.4, NaN, NaN
CaO, 14.5, 14.2, NaN, 14.1, 15.1, 13.38, 13.6, NaN, 15.8
Na2O, 0.4, 0.334, NaN, 0.35, 0.5, 0.29, 0.41, NaN, 0.38
K2O, 0.069, 0.076, NaN, 0.068, 0.1, 0.067, 0.066, NaN, NaN
P2O5, NaN, NaN, NaN, NaN, 0.16, 0.06, NaN, NaN, NaN
S, NaN, NaN, NaN, NaN, 0.08, NaN, NaN, NaN, NaN
