Composition Type, Laul81 bulk 24999, McKay Sourcebook ave., Blanchard78 24077, Blanchard78 24109, Blanchard78 24149, Blanchard78 24174, Blanchard78 24182, Blanchard78 24210, Blanchard78 Ave., Barsukov77 24092, Barsukov77 24118, Barsukov77 24143, Barsukov77 24184
SiO2, 43.9, NaN, 45.9, 44.1, 44.6, 45.5, 44.5, 47.5, 45.4, 43.3, 43.5, 43.6, 43.7
TiO2, 1, 0.9, 1, 1.3, 1, 1.3, 1, 1.1, 1.13, 1.09, 1.13, 1.23, 8
Al2O3, 11.7, 11.8, 11.3, 11, 11.1, 11.5, 9.7, 11.1, 15.2, 15.5, 15.9, 16, NaN
FeO, 20.2, 19.9, 20.6, 20.3, 20.9, 20.2, 21.1, 20.5, 16.3, 16.2, 16.2, 16.1, NaN
MnO, 0.27, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.22, 0.21, 0.23, 0.22, NaN
MgO, 9.7, 9.7, 10.3, 10.1, 9.7, 10, 11.3, 10.2, 8.69, 8.87, 8.8, 8.75, NaN
CaO, 11.1, 11.2, 11, 10.8, 11.1, 10.8, 11.1, 11, 13.1, 12.9, 13.3, 13.1, NaN
Na2O, 0.27, 0.29, 0.27, 0.28, 0.29, 0.25, 0.25, 0.28, 0.42, 0.51, 0.25, 0.43, NaN
K2O, 0.03, 0.03, 0.02, 0.03, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.04, 0.06, NaN
P2O5, 0.11, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
S, 0.14, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.13, 0.13, 0.12, NaN, NaN
